Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,Cost_per_100km_EUR,FastCharge_Time_to_80pct_min,Performance_Score,Range_per_kWh_price,Price_Segment
Tesla,Model 3 Long Range Dual Motor,4.6,233,450,161,940.0,Yes,AWD,Type 2 CCS,Sedan,D,5,55480,4.83,23.0,45.04,8.11,Premium (50-70K)
Volkswagen,ID.3 Pure,10.0,160,270,167,250.0,Yes,RWD,Type 2 CCS,Hatchback,C,5,30000,5.01,51.8,26.0,9.0,Budget (<35K)
Polestar,2,4.7,210,400,181,620.0,Yes,AWD,Type 2 CCS,Liftback,D,5,56440,5.43,31.0,42.28,7.09,Premium (50-70K)
BMW,iX3,6.8,180,360,206,560.0,Yes,RWD,Type 2 CCS,SUV,D,5,68040,6.18,30.9,32.71,5.29,Premium (50-70K)
Honda,e,9.5,145,170,168,190.0,Yes,RWD,Type 2 CCS,Hatchback,B,4,32997,5.04,42.9,25.03,5.15,Budget (<35K)
Lucid,Air,2.8,250,610,180,620.0,Yes,AWD,Type 2 CCS,Sedan,F,5,105000,5.4,47.2,60.71,5.81,Luxury (>70K)
Volkswagen,e-Golf,9.6,150,190,168,220.0,Yes,FWD,Type 2 CCS,Hatchback,C,5,31900,5.04,41.5,25.42,5.96,Budget (<35K)
Peugeot,e-208,8.1,150,275,164,420.0,Yes,FWD,Type 2 CCS,Hatchback,B,5,29682,4.92,31.4,27.35,9.26,Budget (<35K)
Tesla,Model 3 Standard Range Plus,5.6,225,310,153,650.0,Yes,RWD,Type 2 CCS,Sedan,D,5,46380,4.59,22.9,40.36,6.68,Mid-Range (35-50K)
Audi,Q4 e-tron,6.3,180,400,193,540.0,Yes,AWD,Type 2 CCS,SUV,D,5,55000,5.79,35.6,33.87,7.27,Premium (50-70K)
Mercedes,EQC 400 4MATIC,5.1,180,370,216,440.0,Yes,AWD,Type 2 CCS,SUV,D,5,69484,6.48,40.4,37.61,5.32,Premium (50-70K)
Nissan,Leaf,7.9,144,220,164,230.0,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,29234,4.92,45.9,27.06,7.53,Budget (<35K)
Hyundai,Kona Electric 64 kWh,7.9,167,400,160,380.0,Yes,FWD,Type 2 CCS,SUV,B,5,40795,4.8,50.5,29.36,9.81,Mid-Range (35-50K)
BMW,i4,4.0,200,450,178,650.0,Yes,RWD,Type 2 CCS,Sedan,D,5,65000,5.34,33.2,45.0,6.92,Premium (50-70K)
Hyundai,IONIQ Electric,9.7,165,250,153,210.0,Yes,FWD,Type 2 CCS,Liftback,C,5,34459,4.59,57.1,26.81,7.25,Budget (<35K)
Volkswagen,ID.3 Pro S,7.9,160,440,175,590.0,Yes,RWD,Type 2 CCS,Hatchback,C,4,40936,5.25,35.8,28.66,10.75,Mid-Range (35-50K)
Porsche,Taycan Turbo S,2.8,260,375,223,780.0,Yes,AWD,Type 2 CCS,Sedan,F,4,180781,6.69,23.1,61.71,2.07,Luxury (>70K)
Volkswagen,e-Up!,11.9,130,195,166,170.0,Yes,FWD,Type 2 CCS,Hatchback,A,4,21421,4.98,55.1,21.4,9.1,Budget (<35K)
MG,ZS EV,8.2,140,220,193,260.0,Yes,FWD,Type 2 CCS,SUV,B,5,30000,5.79,40.6,26.2,7.33,Budget (<35K)
Mini,Cooper SE,7.3,150,185,156,260.0,Yes,FWD,Type 2 CCS,Hatchback,B,4,31681,4.68,34.2,28.7,5.84,Budget (<35K)
Opel,Corsa-e,8.1,150,275,164,420.0,Yes,FWD,Type 2 CCS,Hatchback,B,5,29146,4.92,31.4,27.35,9.44,Budget (<35K)
Tesla,Model Y Long Range Dual Motor,5.1,217,425,171,930.0,Yes,AWD,Type 2 CCS,SUV,D,7,58620,5.13,21.9,41.31,7.25,Premium (50-70K)
Skoda,Enyaq iV 50,10.0,160,290,179,230.0,Yes,RWD,Type 2 CCS,SUV,C,5,35000,5.37,60.5,26.0,8.29,Budget (<35K)
Audi,e-tron GT,3.5,240,425,197,850.0,Yes,AWD,Type 2 CCS,Sedan,F,4,125000,5.91,24.0,52.57,3.4,Luxury (>70K)
Tesla,Model 3 Long Range Performance,3.4,261,435,167,910.0,Yes,AWD,Type 2 CCS,Sedan,D,5,61480,5.01,22.9,55.51,7.08,Premium (50-70K)
Volkswagen,ID.4,7.5,160,420,183,560.0,Yes,RWD,Type 2 CCS,SUV,C,5,45000,5.49,36.0,29.33,9.33,Mid-Range (35-50K)
Volkswagen,ID.3 Pro,9.0,160,350,166,490.0,Yes,RWD,Type 2 CCS,Hatchback,C,5,33000,4.98,34.3,27.11,10.61,Budget (<35K)
Volvo,XC40 P8 AWD Recharge,4.9,180,375,200,470.0,Yes,AWD,Type 2 CCS,SUV,C,5,60437,6.0,38.3,38.41,6.2,Premium (50-70K)
BMW,i3 120 Ah,7.3,150,235,161,270.0,Yes,RWD,Type 2 CCS,Hatchback,B,4,38017,4.83,41.8,28.7,6.18,Mid-Range (35-50K)
Peugeot,e-2008 SUV,8.5,150,250,180,380.0,Yes,FWD,Type 2 CCS,SUV,B,5,34361,5.4,31.6,26.76,7.28,Budget (<35K)
Audi,e-tron 50 quattro,6.8,190,280,231,450.0,Yes,AWD,Type 2 CCS,SUV,E,5,67358,6.93,29.9,33.71,4.16,Premium (50-70K)
Kia,e-Niro 64 kWh,7.8,167,370,173,350.0,Yes,FWD,Type 2 CCS,SUV,C,5,38105,5.19,50.7,29.52,9.71,Mid-Range (35-50K)
Renault,Zoe ZE50 R110,11.4,135,315,165,230.0,Yes,FWD,Type 2 CCS,Hatchback,B,5,31184,4.95,65.7,22.27,10.1,Budget (<35K)
Tesla,Cybertruck Tri Motor,3.0,210,750,267,710.0,Yes,AWD,Type 2 CCS,Pickup,N,6,75000,8.01,50.7,54.33,10.0,Luxury (>70K)
Mazda,MX-30,9.0,150,180,178,240.0,Yes,FWD,Type 2 CCS,SUV,C,5,32646,5.34,36.0,26.11,5.51,Budget (<35K)
Nissan,Leaf e+,7.3,157,325,172,390.0,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,37237,5.16,40.0,29.4,8.73,Mid-Range (35-50K)
Lexus,UX 300e,7.5,160,270,193,190.0,Yes,FWD,Type 2 CHAdeMO,SUV,C,5,50000,5.79,68.2,29.33,5.4,Mid-Range (35-50K)
